Name;Date;Province;Type;Moved Date From
Año nuevo;01-01-2019;Álava;Nacional;
San José;19-03-2019;Álava;Autonómica;
Viernes Santo;19-04-2019;Álava;Nacional;
Jueves Santo;18-04-2019;Álava;Autonómica;
Lunes de Pascua;22-04-2019;Álava;Autonómica;
San Prudencio;29-04-2019;Álava;Local;28-04-2019
Fiesta del Trabajo;01-05-2019;Álava;Nacional;
Santiago Apóstol;25-07-2019;Álava;Autonómica;
Asunción de la Virgen;15-08-2019;Álava;Nacional;
Virgen Blanca;05-08-2019;Álava;Local;
Fiesta Nacional Española;12-10-2019;Álava;Nacional;
;01-11-2019;Álava;Nacional;
Día de la Constitución Española;06-12-2019;Álava;Nacional;
Natividad del Señor;25-12-2019;Álava;Nacional;
Año nuevo;01-01-2018;Álava;Nacional;
Epifanía del Señor;06-01-2018;Álava;Nacional;
Viernes Santo;30-03-2018;Álava;Nacional;
Jueves Santo;29-03-2018;Álava;Autonómica;
Lunes de Pascua;02-04-2018;Álava;Autonómica;
San Prudencio;28-04-2018;Álava;Local;
Fiesta del Trabajo;01-05-2018;Álava;Nacional;
Asunción de la Virgen;15-08-2018;Álava;Nacional;
Fiesta Nacional Española;12-10-2018;Álava;Nacional;
Día de Todos los Santos;01-11-2018;Álava;Nacional;
Día de la Constitución Española;06-12-2018;Álava;Nacional;
Inmaculada Concepción;08-12-2018;Álava;Nacional;
Navidad;25-12-2018;Álava;Nacional;
Epifanía del Señor;06-01-2017;Álava;Nacional;
Viernes Santo;14-04-2017;Álava;Nacional;
Jueves Santo;13-04-2017;Álava;Autonómica;
Lunes de Pascua;17-04-2017;Álava;Autonómica;
San Prudencio;28-04-2017;Álava;Local;
Día del Trabajo;01-05-2017;Álava;Nacional;
Santiago Apóstol;25-07-2017;Álava;Autonómica;
Asunción de la Virgen;15-08-2017;Álava;Nacional;
Virgen Blanca;05-08-2017;Álava;Local;
Fiesta Nacional Española;12-10-2017;Álava;Nacional;
Día de Todos los Santos;01-11-2017;Álava;Nacional;
Día de la Constitución Española;06-12-2017;Álava;Nacional;
Inmaculada Concepción;08-12-2017;Álava;Nacional;
Natividad del Señor;25-12-2017;Álava;Nacional;
Año nuevo;01-01-2016;Álava;Nacional;
Epifanía del Señor;06-01-2016;Álava;Nacional;
Viernes Santo;25-03-2016;Álava;Nacional;
Jueves Santo;24-03-2016;Álava;Autonómica;
Lunes de Pascua;28-03-2016;Álava;Autonómica;
San Prudencio;28-04-2016;Álava;Local;
Santiago Apóstol;25-07-2016;Álava;Autonómica;
Asunción de la Virgen;15-08-2016;Álava;Nacional;
Virgen Blanca;05-08-2016;Álava;Local;
Fiesta Nacional Española;12-10-2016;Álava;Nacional;
80º Aniversario primer Gobierno Vasco;07-10-2016;Álava;Autonómica;
Día de Todos los Santos;01-11-2016;Álava;Nacional;
Día de la Constitución Española;06-12-2016;Álava;Nacional;
Inmaculada Concepción;08-12-2016;Álava;Nacional;
Año nuevo;01-01-2015;Álava;Nacional;
Epifanía del Señor;06-01-2015;Álava;Nacional;
San José;19-03-2015;Álava;Autonómica;
Viernes Santo;03-04-2015;Álava;Nacional;
Jueves Santo;02-04-2015;Álava;Autonómica;
Lunes de Pascua;06-04-2015;Álava;Autonómica;
San Prudencio;28-04-2015;Álava;Local;
Día del trabajo;01-05-2015;Álava;Nacional;
Santiago Apostol;25-07-2015;Álava;Autonómica;
Asunción de la Virgen;15-08-2015;Álava;Nacional;
Virgen Blanca;05-08-2015;Álava;Local;
Fiesta Nacional Española;12-10-2015;Álava;Nacional;
Inmaculada Concepción;08-12-2015;Álava;Nacional;
Natividad del Señor;25-12-2015;Álava;Nacional;
Año nuevo;01-01-2014;Álava;Nacional;
Epifanía del Señor;06-01-2014;Álava;Nacional;
Viernes Santo;18-04-2014;Álava;Nacional;
Jueves Santo;17-04-2014;Álava;Autonómica;
Lunes de Pascua;21-04-2014;Álava;Autonómica;
San Prudencio;28-04-2014;Álava;Local;
Festividad del trabajo;01-05-2014;Álava;Nacional;
Santiago Apóstol;25-07-2014;Álava;Local;
Asunción de la Virgen;15-08-2014;Álava;Nacional;
Virgen Blanca;05-08-2014;Álava;Local;
Día de Todos los Santos;01-11-2014;Álava;Nacional;
Día de la Constitución Española;06-12-2014;Álava;Nacional;
Inmaculada Concepción;08-12-2014;Álava;Nacional;
Navidad;25-12-2014;Álava;Nacional;
Año nuevo;01-01-2013;Álava;Nacional;
Viernes Santo;29-03-2013;Álava;Nacional;
Jueves Santo;28-03-2013;Álava;Autonómica;
Lunes de Pascua;01-04-2013;Álava;Autonómica;
Día del trabajo;01-05-2013;Álava;Nacional;
Fiesta de Territorio Histórico;24-06-2013;Álava;Local;
Santiago Apostol;25-07-2013;Álava;Autonómica;
Asunción de la Virgen;15-08-2013;Álava;Nacional;
Virgen Blanca;05-08-2013;Álava;Local;
Fiesta Nacional Española;12-10-2013;Álava;Nacional;
Día del País Vasco;25-10-2013;Álava;Autonómica;
Día de Todos los Santos;01-11-2013;Álava;Nacional;
Día de la Constitución Española;06-12-2013;Álava;Nacional;
Navidad;25-12-2013;Álava;Nacional;
Epifanía del Señor;06-01-2012;Álava;Nacional;
Viernes Santo;06-04-2012;Álava;Nacional;
Jueves Santo;05-04-2012;Álava;Autonómica;
Lunes de Pascua;09-04-2012;Álava;Autonómica;
Día del trabajo;01-05-2012;Álava;Nacional;
Día de Santiago;25-07-2012;Álava;Local;
Asunción de la Virgen;15-08-2012;Álava;Nacional;
Fiesta Nacional Española;12-10-2012;Álava;Nacional;
Día del País Vasco;25-10-2012;Álava;Autonómica;
Día de Todos los Santos;01-11-2012;Álava;Nacional;
Día de la Constitución Española;06-12-2012;Álava;Nacional;
Inmaculada Concepción;08-12-2012;Álava;Nacional;
Navidad;25-12-2012;Álava;Nacional;
Año nuevo;01-01-2011;Álava;Nacional;
Epifanía del Señor;06-01-2011;Álava;Nacional;
;22-04-2011;Álava;Nacional;
Jueves Santo;21-04-2011;Álava;Autonómica;
Lunes de Pascua;25-04-2011;Álava;Autonómica;
San Prudencio;28-04-2011;Álava;Local;
Día del trabajo;02-05-2011;Álava;Nacional;01-05-2011
Santiago Apostol;25-07-2011;Álava;Autonómica;
Asunción de la Virgen;15-08-2011;Álava;Nacional;
Virgen Blanca;05-08-2011;Álava;Local;
Fiesta Nacional Española;12-10-2011;Álava;Nacional;
Día del País Vasco;25-10-2011;Álava;Autonómica;
Día de Todos los Santos;01-11-2011;Álava;Nacional;
Día de la Constitución Española;06-12-2011;Álava;Nacional;
Inmaculada Concepción;08-12-2011;Álava;Nacional;
Natividad del señor;26-12-2011;Álava;Nacional;25-12-2011
Año nuevo;01-01-2010;Álava;Nacional;
Epifanía del Señor;06-01-2010;Álava;Nacional;
San Prudencio;28-04-2010;Álava;Local;
Santiago Apostol;26-07-2010;Álava;Autonómica;25-07-2010
Asunción de la Virgen;16-08-2010;Álava;Nacional;15-08-2010
Virgen Blanca;05-08-2010;Álava;Local;
Fiesta Nacional Española;12-10-2010;Álava;Nacional;
Día del País Vasco;25-10-2010;Álava;Autonómica;
Día de Todos los Santos;01-11-2010;Álava;Nacional;
Día de la Constitución Española;06-12-2010;Álava;Nacional;
Inmaculada Concepción;08-12-2010;Álava;Nacional;
Año nuevo;01-01-2009;Álava;Nacional;
Epifanía del Señor;06-01-2009;Álava;Nacional;
San Prudencio;28-04-2009;Álava;Local;
Santiago Apostol;25-07-2009;Álava;Autonómica;
Asunción de la Virgen;15-08-2009;Álava;Nacional;
Virgen Blanca;05-08-2009;Álava;Local;
Fiesta Nacional Española;12-10-2009;Álava;Nacional;
Día del País Vasco;26-10-2009;Álava;Autonómica;25-10-2009
Día de Todos los Santos;02-11-2009;Álava;Nacional;01-11-2009
Día de la Constitución Española;07-12-2009;Álava;Nacional;06-12-2009
Inmaculada Concepción;08-12-2009;Álava;Nacional;
Año nuevo;01-01-2008;Álava;Nacional;
Epifanía del Señor;07-01-2008;Álava;Nacional;06-01-2008
San Prudencio;28-04-2008;Álava;Local;
Santiago Apostol;25-07-2008;Álava;Autonómica;
Asunción de la Virgen;15-08-2008;Álava;Nacional;
Virgen Blanca;05-08-2008;Álava;Local;
Fiesta Nacional Española;13-10-2008;Álava;Nacional;12-10-2008
Día del País Vasco;25-10-2008;Álava;Autonómica;
Día de Todos los Santos;01-11-2008;Álava;Nacional;
Día de la Constitución Española;06-12-2008;Álava;Nacional;
Inmaculada Concepción;08-12-2008;Álava;Nacional;
Año nuevo;01-01-2007;Álava;Nacional;
Epifanía del Señor;06-01-2007;Álava;Nacional;
San Prudencio;28-04-2007;Álava;Local;
Santiago Apostol;25-07-2007;Álava;Autonómica;
Asunción de la Virgen;15-08-2007;Álava;Nacional;
Virgen Blanca;06-08-2007;Álava;Local;05-08-2007
Fiesta Nacional Española;12-10-2007;Álava;Nacional;
Día del País Vasco;25-10-2007;Álava;Autonómica;
Día de Todos los Santos;01-11-2007;Álava;Nacional;
Día de la Constitución Española;06-12-2007;Álava;Nacional;
Inmaculada Concepción;08-12-2007;Álava;Nacional;
Año nuevo;02-01-2006;Álava;Nacional;01-01-2006
Epifanía del Señor;06-01-2006;Álava;Nacional;
San Prudencio;28-04-2006;Álava;Local;
Santiago Apostol;25-07-2006;Álava;Autonómica;
Asunción de la Virgen;15-08-2006;Álava;Nacional;
Virgen Blanca;05-08-2006;Álava;Local;
Fiesta Nacional Española;12-10-2006;Álava;Nacional;
Día del País Vasco;25-10-2006;Álava;Autonómica;
Día de Todos los Santos;01-11-2006;Álava;Nacional;
Día de la Constitución Española;06-12-2006;Álava;Nacional;
Inmaculada Concepción;08-12-2006;Álava;Nacional;
Año nuevo;01-01-2019;Albacete;Nacional;
Viernes Santo;19-04-2019;Albacete;Nacional;
Jueves Santo;18-04-2019;Albacete;Autonómica;
Lunes de Pascua;22-04-2019;Albacete;Autonómica;
Fiesta del Trabajo;01-05-2019;Albacete;Nacional;
Día de la Región de Castilla la Mancha;31-05-2019;Albacete;Autonómica;
Corpus Christi;20-06-2019;Albacete;Autonómica;
San Juan;24-06-2019;Albacete;Local;
Asunción de la Virgen;15-08-2019;Albacete;Nacional;
Virgen de los Llanos;09-09-2019;Albacete;Local;08-09-2019
Fiesta Nacional Española;12-10-2019;Albacete;Nacional;
;01-11-2019;Albacete;Nacional;
Día de la Constitución Española;06-12-2019;Albacete;Nacional;
Natividad del Señor;25-12-2019;Albacete;Nacional;
Año nuevo;01-01-2018;Albacete;Nacional;
Epifanía del Señor;06-01-2018;Albacete;Nacional;
Viernes Santo;30-03-2018;Albacete;Nacional;
Jueves Santo;29-03-2018;Albacete;Autonómica;
Fiesta del Trabajo;01-05-2018;Albacete;Nacional;
Día de la Región de Castilla la Mancha;31-05-2018;Albacete;Autonómica;
San Juan;25-06-2018;Albacete;Local;24-06-2018
Asunción de la Virgen;15-08-2018;Albacete;Nacional;
Virgen de los Llanos;08-09-2018;Albacete;Local;
Fiesta Nacional Española;12-10-2018;Albacete;Nacional;
Día de Todos los Santos;01-11-2018;Albacete;Nacional;
Día de la Constitución Española;06-12-2018;Albacete;Nacional;
Inmaculada Concepción;08-12-2018;Albacete;Nacional;
Navidad;25-12-2018;Albacete;Nacional;
Epifanía del Señor;06-01-2017;Albacete;Nacional;
Viernes Santo;14-04-2017;Albacete;Nacional;
Jueves Santo;13-04-2017;Albacete;Autonómica;
Día del Trabajo;01-05-2017;Albacete;Nacional;
Día de la Región de Castilla la Mancha;31-05-2017;Albacete;Autonómica;
Corpus Christi;15-06-2017;Albacete;Autonómica;
San Juan;24-06-2017;Albacete;Local;
Asunción de la Virgen;15-08-2017;Albacete;Nacional;
Virgen de los Llanos;08-09-2017;Albacete;Local;
Fiesta Nacional Española;12-10-2017;Albacete;Nacional;
Día de Todos los Santos;01-11-2017;Albacete;Nacional;
Día de la Constitución Española;06-12-2017;Albacete;Nacional;
Inmaculada Concepción;08-12-2017;Albacete;Nacional;
Natividad del Señor;25-12-2017;Albacete;Nacional;
Año nuevo;01-01-2016;Albacete;Nacional;
Epifanía del Señor;06-01-2016;Albacete;Nacional;
Viernes Santo;25-03-2016;Albacete;Nacional;
Jueves Santo;24-03-2016;Albacete;Autonómica;
Corpus Christi;26-05-2016;Albacete;Autonómica;
Día de la Región de Castilla la Mancha;31-05-2016;Albacete;Autonómica;
San Juan;24-06-2016;Albacete;Local;
Asunción de la Virgen;15-08-2016;Albacete;Nacional;
Virgen de los Llanos;08-09-2016;Albacete;Local;
Fiesta Nacional Española;12-10-2016;Albacete;Nacional;
Día de Todos los Santos;01-11-2016;Albacete;Nacional;
Día de la Constitución Española;06-12-2016;Albacete;Nacional;
Inmaculada Concepción;08-12-2016;Albacete;Nacional;
Natividad del Señor;26-12-2016;Albacete;Autonómica;25-12-2016
Año nuevo;01-01-2015;Albacete;Nacional;
Epifanía del Señor;06-01-2015;Albacete;Nacional;
Viernes Santo;03-04-2015;Albacete;Nacional;
Jueves Santo;02-04-2015;Albacete;Autonómica;
Lunes de Pascua;06-04-2015;Albacete;Autonómica;
Día del trabajo;01-05-2015;Albacete;Nacional;
Corpus Christi;04-06-2015;Albacete;Autonómica;
San Juan;24-06-2015;Albacete;Local;
Asunción de la Virgen;15-08-2015;Albacete;Nacional;
Virgen de los Llanos;08-09-2015;Albacete;Local;
Fiesta Nacional Española;12-10-2015;Albacete;Nacional;
Día de la Constitución Española;07-12-2015;Albacete;Nacional;06-12-2015
Inmaculada Concepción;08-12-2015;Albacete;Nacional;
Natividad del Señor;25-12-2015;Albacete;Nacional;
Año nuevo;01-01-2014;Albacete;Nacional;
Epifanía del Señor;06-01-2014;Albacete;Nacional;
Viernes Santo;18-04-2014;Albacete;Nacional;
Jueves Santo;17-04-2014;Albacete;Autonómica;
Lunes de Pascua;21-04-2014;Albacete;Autonómica;
Festividad del trabajo;01-05-2014;Albacete;Nacional;
Corpus Christi;19-06-2014;Albacete;Autonómica;
San Juan;24-06-2014;Albacete;Local;
Asunción de la Virgen;15-08-2014;Albacete;Nacional;
Virgen de los Llanos;08-09-2014;Albacete;Local;
Día de Todos los Santos;01-11-2014;Albacete;Nacional;
Día de la Constitución Española;06-12-2014;Albacete;Nacional;
Inmaculada Concepción;08-12-2014;Albacete;Nacional;
Navidad;25-12-2014;Albacete;Nacional;
Año nuevo;01-01-2013;Albacete;Nacional;
Epifanía del Señor;07-01-2013;Albacete;Nacional;06-01-2013
Viernes Santo;29-03-2013;Albacete;Nacional;
Jueves Santo;28-03-2013;Albacete;Autonómica;
Día del trabajo;01-05-2013;Albacete;Nacional;
Corpus Christi;30-05-2013;Albacete;Autonómica;
Día de la Región de Castilla la Mancha;31-05-2013;Albacete;Autonómica;
San Juan;24-06-2013;Albacete;Local;
Asunción de la Virgen;15-08-2013;Albacete;Nacional;
Virgen de los Llanos;09-09-2013;Albacete;Local;08-09-2013
Fiesta Nacional Española;12-10-2013;Albacete;Nacional;
Día de Todos los Santos;01-11-2013;Albacete;Nacional;
Día de la Constitución Española;06-12-2013;Albacete;Nacional;
Navidad;25-12-2013;Albacete;Nacional;
Epifanía del Señor;06-01-2012;Albacete;Nacional;
Viernes Santo;06-04-2012;Albacete;Nacional;
Jueves Santo;05-04-2012;Albacete;Autonómica;
Día del trabajo;01-05-2012;Albacete;Nacional;
Día de la Región de Castilla la Mancha;31-05-2012;Albacete;Autonómica;
Corpus Christi;07-06-2012;Albacete;Autonómica;
San Juan;25-06-2012;Albacete;Local;24-06-2012
Asunción de la Virgen;15-08-2012;Albacete;Nacional;
Virgen de los Llanos;08-09-2012;Albacete;Local;
Fiesta Nacional Española;12-10-2012;Albacete;Nacional;
Día de Todos los Santos;01-11-2012;Albacete;Nacional;
Día de la Constitución Española;06-12-2012;Albacete;Nacional;
Inmaculada Concepción;08-12-2012;Albacete;Nacional;
Navidad;25-12-2012;Albacete;Nacional;
Año nuevo;01-01-2011;Albacete;Nacional;
Epifanía del Señor;06-01-2011;Albacete;Nacional;
San José;19-03-2011;Albacete;Autonómica;
;22-04-2011;Albacete;Nacional;
Jueves Santo;21-04-2011;Albacete;Autonómica;
Lunes de Pascua;25-04-2011;Albacete;Autonómica;
Día del trabajo;02-05-2011;Albacete;Nacional;01-05-2011
Día de la Región de Castilla la Mancha;31-05-2011;Albacete;Autonómica;
Corpus Christi;23-06-2011;Albacete;Autonómica;
San Juan;24-06-2011;Albacete;Local;
Asunción de la Virgen;15-08-2011;Albacete;Nacional;
Virgen de los Llanos;08-09-2011;Albacete;Local;
Fiesta Nacional Española;12-10-2011;Albacete;Nacional;
Día de Todos los Santos;01-11-2011;Albacete;Nacional;
Día de la Constitución Española;06-12-2011;Albacete;Nacional;
Inmaculada Concepción;08-12-2011;Albacete;Nacional;
Natividad del señor;26-12-2011;Albacete;Nacional;25-12-2011
Año nuevo;01-01-2010;Albacete;Nacional;
Epifanía del Señor;06-01-2010;Albacete;Nacional;
San José;19-03-2010;Albacete;Autonómica;
Día de la Región de Castilla la Mancha;31-05-2010;Albacete;Autonómica;
San Juan;24-06-2010;Albacete;Local;
Asunción de la Virgen;16-08-2010;Albacete;Nacional;15-08-2010
Virgen de los Llanos;08-09-2010;Albacete;Local;
Fiesta Nacional Española;12-10-2010;Albacete;Nacional;
Día de Todos los Santos;01-11-2010;Albacete;Nacional;
Día de la Constitución Española;06-12-2010;Albacete;Nacional;
Inmaculada Concepción;08-12-2010;Albacete;Nacional;
Año nuevo;01-01-2009;Albacete;Nacional;
Epifanía del Señor;06-01-2009;Albacete;Nacional;
San José;19-03-2009;Albacete;Autonómica;
San Juan;24-06-2009;Albacete;Local;
Asunción de la Virgen;15-08-2009;Albacete;Nacional;
Virgen de los Llanos;08-09-2009;Albacete;Local;
Fiesta Nacional Española;12-10-2009;Albacete;Nacional;
Día de Todos los Santos;02-11-2009;Albacete;Nacional;01-11-2009
Día de la Constitución Española;07-12-2009;Albacete;Nacional;06-12-2009
Inmaculada Concepción;08-12-2009;Albacete;Nacional;
Año nuevo;01-01-2008;Albacete;Nacional;
Epifanía del Señor;07-01-2008;Albacete;Nacional;06-01-2008
San José;19-03-2008;Albacete;Autonómica;
Día de la Región de Castilla la Mancha;31-05-2008;Albacete;Autonómica;
San Juan;24-06-2008;Albacete;Local;
Asunción de la Virgen;15-08-2008;Albacete;Nacional;
Virgen de los Llanos;08-09-2008;Albacete;Local;
Fiesta Nacional Española;13-10-2008;Albacete;Nacional;12-10-2008
Día de Todos los Santos;01-11-2008;Albacete;Nacional;
Día de la Constitución Española;06-12-2008;Albacete;Nacional;
Inmaculada Concepción;08-12-2008;Albacete;Nacional;
Año nuevo;01-01-2007;Albacete;Nacional;
Epifanía del Señor;06-01-2007;Albacete;Nacional;
San José;19-03-2007;Albacete;Autonómica;
Día de la Región de Castilla la Mancha;31-05-2007;Albacete;Autonómica;
San Juan;25-06-2007;Albacete;Local;24-06-2007
Asunción de la Virgen;15-08-2007;Albacete;Nacional;
Virgen de los Llanos;08-09-2007;Albacete;Local;
Fiesta Nacional Española;12-10-2007;Albacete;Nacional;
Día de Todos los Santos;01-11-2007;Albacete;Nacional;
Día de la Constitución Española;06-12-2007;Albacete;Nacional;
Inmaculada Concepción;08-12-2007;Albacete;Nacional;
Año nuevo;02-01-2006;Albacete;Nacional;01-01-2006
Epifanía del Señor;06-01-2006;Albacete;Nacional;
San José;20-03-2006;Albacete;Autonómica;19-03-2006
Día de la Región de Castilla la Mancha;31-05-2006;Albacete;Autonómica;
San Juan;24-06-2006;Albacete;Local;
Asunción de la Virgen;15-08-2006;Albacete;Nacional;
Virgen de los Llanos;08-09-2006;Albacete;Local;
Fiesta Nacional Española;12-10-2006;Albacete;Nacional;
Día de Todos los Santos;01-11-2006;Albacete;Nacional;
Día de la Constitución Española;06-12-2006;Albacete;Nacional;
Inmaculada Concepción;08-12-2006;Albacete;Nacional;
Año nuevo;01-01-2019;Alicante;Nacional;
San José;19-03-2019;Alicante;Autonómica;
Viernes Santo;19-04-2019;Alicante;Nacional;
Lunes de Pascua;22-04-2019;Alicante;Autonómica;
Fiesta del Trabajo;01-05-2019;Alicante;Nacional;
Santa Faz;02-05-2019;Alicante;Local;
San Juan;24-06-2019;Alicante;Autonómica;
Fiesta Local;25-06-2019;Alicante;Local;
Asunción de la Virgen;15-08-2019;Alicante;Nacional;
Fiesta Nacional Española;12-10-2019;Alicante;Nacional;
Día de la Comunitat Valenciana;09-10-2019;Alicante;Autonómica;
;01-11-2019;Alicante;Nacional;
Día de la Constitución Española;06-12-2019;Alicante;Nacional;
Natividad del Señor;25-12-2019;Alicante;Nacional;
Año nuevo;01-01-2018;Alicante;Nacional;
Epifanía del Señor;06-01-2018;Alicante;Nacional;
Viernes Santo;30-03-2018;Alicante;Nacional;
San José;19-03-2018;Alicante;Autonómica;
Lunes de Pascua;02-04-2018;Alicante;Autonómica;
Santa Faz;12-04-2018;Alicante;Local;
Fiesta del Trabajo;01-05-2018;Alicante;Nacional;
San Juan;25-06-2018;Alicante;Local;24-06-2018
Asunción de la Virgen;15-08-2018;Alicante;Nacional;
Fiesta Nacional Española;12-10-2018;Alicante;Nacional;
Día de la Comunidad Valenciana;09-10-2018;Alicante;Autonómica;
Día de Todos los Santos;01-11-2018;Alicante;Nacional;
Día de la Constitución Española;06-12-2018;Alicante;Nacional;
Inmaculada Concepción;08-12-2018;Alicante;Nacional;
Navidad;25-12-2018;Alicante;Nacional;
Epifanía del Señor;06-01-2017;Alicante;Nacional;
Viernes Santo;14-04-2017;Alicante;Nacional;
Jueves Santo;13-04-2017;Alicante;Autonómica;
Lunes de Pascua;17-04-2017;Alicante;Autonómica;
Santa Faz;27-04-2017;Alicante;Local;
Día del Trabajo;01-05-2017;Alicante;Nacional;
San Juan;24-06-2017;Alicante;Local;
Asunción de la Virgen;15-08-2017;Alicante;Nacional;
Fiesta Nacional Española;12-10-2017;Alicante;Nacional;
Día de la Comunitat Valenciana;09-10-2017;Alicante;Autonómica;
Día de Todos los Santos;01-11-2017;Alicante;Nacional;
Día de la Constitución Española;06-12-2017;Alicante;Nacional;
Inmaculada Concepción;08-12-2017;Alicante;Nacional;
Natividad del Señor;25-12-2017;Alicante;Nacional;
Año nuevo;01-01-2016;Alicante;Nacional;
Epifanía del Señor;06-01-2016;Alicante;Nacional;
Viernes Santo;25-03-2016;Alicante;Nacional;
San José;19-03-2016;Alicante;Autonómica;
Jueves Santo;24-03-2016;Alicante;Autonómica;
Lunes de Pascua;28-03-2016;Alicante;Autonómica;
Santa Faz;07-04-2016;Alicante;Local;
San Juan;24-06-2016;Alicante;Local;
Asunción de la Virgen;15-08-2016;Alicante;Nacional;
Fiesta Nacional Española;12-10-2016;Alicante;Nacional;
Día de Todos los Santos;01-11-2016;Alicante;Nacional;
Día de la Constitución Española;06-12-2016;Alicante;Nacional;
Inmaculada Concepción;08-12-2016;Alicante;Nacional;
Natividad del Señor;26-12-2016;Alicante;Autonómica;25-12-2016
Año nuevo;01-01-2015;Alicante;Nacional;
Epifanía del Señor;06-01-2015;Alicante;Nacional;
San José;19-03-2015;Alicante;Autonómica;
Viernes Santo;03-04-2015;Alicante;Nacional;
Lunes de Pascua;06-04-2015;Alicante;Autonómica;
Santa Faz;16-04-2015;Alicante;Local;
Fiesta del Trabajo;01-05-2015;Alicante;Autonómica;
San Juan;24-06-2015;Alicante;Local;
Asunción de la Virgen;15-08-2015;Alicante;Nacional;
Fiesta Nacional Española;12-10-2015;Alicante;Nacional;
Día de la Comunitat Valenciana;09-10-2015;Alicante;Autonómica;
Día de la Constitución Española;07-12-2015;Alicante;Nacional;06-12-2015
Inmaculada Concepción;08-12-2015;Alicante;Nacional;
Natividad del Señor;25-12-2015;Alicante;Nacional;
Año nuevo;01-01-2014;Alicante;Nacional;
Epifanía del Señor;06-01-2014;Alicante;Nacional;
San José;19-03-2014;Alicante;Autonómica;
Viernes Santo;18-04-2014;Alicante;Nacional;
Lunes de Pascua;21-04-2014;Alicante;Autonómica;
Fiesta del Trabajo;01-05-2014;Alicante;Autonómica;
Fiesta local;23-06-2014;Alicante;Local;
San Juan;24-06-2014;Alicante;Local;
Asunción de la Virgen;15-08-2014;Alicante;Nacional;
Día de la Comunidad Valenciana;09-10-2014;Alicante;Autonómica;
Día de Todos los Santos;01-11-2014;Alicante;Nacional;
Día de la Constitución Española;06-12-2014;Alicante;Nacional;
Inmaculada Concepción;08-12-2014;Alicante;Nacional;
Navidad;25-12-2014;Alicante;Nacional;
Año nuevo;01-01-2013;Alicante;Nacional;
Viernes Santo;29-03-2013;Alicante;Nacional;
Lunes de Fallas;18-03-2013;Alicante;Autonómica;
San José;19-03-2013;Alicante;Autonómica;
Lunes de Pascua;01-04-2013;Alicante;Autonómica;
Santa Faz;11-04-2013;Alicante;Local;
Fiesta del Trabajo;01-05-2013;Alicante;Autonómica;
San Juan;24-06-2013;Alicante;Local;
Asunción de la Virgen;15-08-2013;Alicante;Nacional;
Fiesta Nacional Española;12-10-2013;Alicante;Nacional;
Día de la Comunidad Valenciana;09-10-2013;Alicante;Autonómica;
Día de Todos los Santos;01-11-2013;Alicante;Nacional;
Día de la Constitución Española;06-12-2013;Alicante;Nacional;
Navidad;25-12-2013;Alicante;Nacional;
Epifanía del Señor;06-01-2012;Alicante;Nacional;
San José;19-03-2012;Alicante;Autonómica;
Viernes Santo;06-04-2012;Alicante;Nacional;
Lunes de Pascua;09-04-2012;Alicante;Autonómica;
Santa Faz;19-04-2012;Alicante;Local;
Fiesta del Trabajo;01-05-2012;Alicante;Autonómica;
San Juan;25-06-2012;Alicante;Local;24-06-2012
Asunción de la Virgen;15-08-2012;Alicante;Nacional;
Fiesta Nacional Española;12-10-2012;Alicante;Nacional;
Día de la Comunidad Valenciana;09-10-2012;Alicante;Autonómica;
Día de Todos los Santos;01-11-2012;Alicante;Nacional;
Día de la Constitución Española;06-12-2012;Alicante;Nacional;
Inmaculada Concepción;08-12-2012;Alicante;Nacional;
Navidad;25-12-2012;Alicante;Nacional;
Año nuevo;01-01-2011;Alicante;Nacional;
Epifanía del Señor;06-01-2011;Alicante;Nacional;
San José;19-03-2011;Alicante;Autonómica;
;22-04-2011;Alicante;Nacional;
Jueves Santo;21-04-2011;Alicante;Autonómica;
Lunes de Pascua;25-04-2011;Alicante;Autonómica;
Fiesta del Trabajo;02-05-2011;Alicante;Autonómica;01-05-2011
Santa Faz;05-05-2011;Alicante;Local;
San Juan;24-06-2011;Alicante;Local;
Asunción de la Virgen;15-08-2011;Alicante;Nacional;
Fiesta Nacional Española;12-10-2011;Alicante;Nacional;
Día de Todos los Santos;01-11-2011;Alicante;Nacional;
Día de la Constitución Española;06-12-2011;Alicante;Nacional;
Inmaculada Concepción;08-12-2011;Alicante;Nacional;
Natividad del señor;26-12-2011;Alicante;Nacional;25-12-2011
Año nuevo;01-01-2010;Alicante;Nacional;
Epifanía del Señor;06-01-2010;Alicante;Nacional;
San José;19-03-2010;Alicante;Autonómica;
Fiesta del Trabajo;01-05-2010;Alicante;Autonómica;
Santa Faz;05-05-2010;Alicante;Local;
San Juan;24-06-2010;Alicante;Local;
Asunción de la Virgen;16-08-2010;Alicante;Nacional;15-08-2010
Fiesta Nacional Española;12-10-2010;Alicante;Nacional;
Día de Todos los Santos;01-11-2010;Alicante;Nacional;
Día de la Constitución Española;06-12-2010;Alicante;Nacional;
Inmaculada Concepción;08-12-2010;Alicante;Nacional;
Año nuevo;01-01-2009;Alicante;Nacional;
Epifanía del Señor;06-01-2009;Alicante;Nacional;
San José;19-03-2009;Alicante;Autonómica;
Fiesta del Trabajo;01-05-2009;Alicante;Autonómica;
Santa Faz;05-05-2009;Alicante;Local;
San Juan;24-06-2009;Alicante;Local;
Asunción de la Virgen;15-08-2009;Alicante;Nacional;
Fiesta Nacional Española;12-10-2009;Alicante;Nacional;
